Signal Legend:

Key        Signal Name

0        = clk_en:EN_CLK|clk
1        = clk_en:EN_CLK|sam_clk_en
2        = clk_en:EN_CLK|sym_clk_en
3        = clk_en:EN_CLK|sys_clk
4        = clk_en:EN_CLK|cnt[3..0]
5        = LFSR_22:LFSR_GEN|cycle
6        = LFSR_22:LFSR_GEN|load
7        = LFSR_22:LFSR_GEN|reset
8        = LFSR_22:LFSR_GEN|cnt[21..0]
9        = LFSR_22:LFSR_GEN|x[21..0]
10       = LFSR_22:LFSR_GEN|out[21..0]
11       = mapper_in:SUT_input|LFSR[1..0]
12       = mapper_in:SUT_input|map_out[17..0]
13       = DUT_for_MER_measurement:DUT|reset
14       = DUT_for_MER_measurement:DUT|in_data[17..0]
15       = DUT_for_MER_measurement:DUT|decision_variable[17..0]
16       = DUT_for_MER_measurement:DUT|decision_variable_temp[17..0]
17       = DUT_for_MER_measurement:DUT|error[17..0]
18       = DUT_for_MER_measurement:DUT|error_temp[17..0]
19       = DUT_for_MER_measurement:DUT|errorless_decision_variable[17..0]
20       = DUT_for_MER_measurement:DUT|errorless_decision_variable_temp[17..0]
21       = DUT_for_MER_measurement:DUT|isi_power[17..0]
22       = DUT_for_MER_measurement:DUT|isi_term_hp[36..0]
23       = DUT_for_MER_measurement:DUT|isi_term_lp[17..0]
24       = DUT_for_MER_measurement:DUT|sum_level_one[18..0]

Data Table:

Signals-> 0 1 2 3 4  5 6 7 8       9        10       11  12     13 14     15     16     17     18     19     20     21     22          23     24     

sample

-128      0 0 0 0 15 0 0 0 3834032 1683884  1683884  00b -98304 1  28000h 036F3h 3D21Ah 3F6F3h 0121Ah 04000h 3C000h 02434h 0048680000h 02434h 20000h 
-127      0 1 1 1 0  0 0 0 3834032 1683884  1683884  00b -98304 1  28000h 036F3h 3D21Ah 3F6F3h 0121Ah 04000h 3C000h 02434h 0048680000h 02434h 20000h 
-126      0 1 1 0 0  0 0 0 3834032 1683884  1683884  00b -98304 1  28000h 036F3h 3D21Ah 3F6F3h 0121Ah 04000h 3C000h 02434h 0048680000h 02434h 20000h 
-125      0 0 0 1 1  0 0 0 3834033 -826535  -826535  01b -32768 1  38000h 3D21Ah 0ADE6h 0121Ah 3EDE6h 3C000h 0C000h 02434h 07B7980000h 3DBCCh 60000h 
-124      0 0 0 0 1  0 0 0 3834033 -826535  -826535  01b -32768 1  38000h 3D21Ah 0ADE6h 0121Ah 3EDE6h 3C000h 0C000h 02434h 07B7980000h 3DBCCh 60000h 
-123      0 0 0 1 2  0 0 0 3834033 -826535  -826535  01b -32768 1  38000h 3D21Ah 0ADE6h 0121Ah 3EDE6h 3C000h 0C000h 02434h 07B7980000h 3DBCCh 60000h 
-122      0 0 0 0 2  0 0 0 3834033 -826535  -826535  01b -32768 1  38000h 3D21Ah 0ADE6h 0121Ah 3EDE6h 3C000h 0C000h 02434h 07B7980000h 3DBCCh 60000h 
-121      0 0 0 1 3  0 0 0 3834033 -826535  -826535  01b -32768 1  38000h 3D21Ah 0ADE6h 0121Ah 3EDE6h 3C000h 0C000h 02434h 07B7980000h 3DBCCh 60000h 
-120      0 0 0 0 3  0 0 0 3834033 -826535  -826535  01b -32768 1  38000h 3D21Ah 0ADE6h 0121Ah 3EDE6h 3C000h 0C000h 02434h 07B7980000h 3DBCCh 60000h 
-119      0 1 0 1 4  0 0 0 3834033 -826535  -826535  01b -32768 1  38000h 3D21Ah 0ADE6h 0121Ah 3EDE6h 3C000h 0C000h 02434h 07B7980000h 3DBCCh 60000h 
-118      0 1 0 0 4  0 0 0 3834033 -826535  -826535  01b -32768 1  38000h 3D21Ah 0ADE6h 0121Ah 3EDE6h 3C000h 0C000h 02434h 07B7980000h 3DBCCh 60000h 
-117      0 0 0 1 5  0 0 0 3834034 -1653070 -1653070 10b 98304  1  18000h 3D21Ah 0ADE6h 0121Ah 3EDE6h 3C000h 0C000h 02434h 07B7980000h 3DBCCh 60000h 
-116      0 0 0 0 5  0 0 0 3834034 -1653070 -1653070 10b 98304  1  18000h 3D21Ah 0ADE6h 0121Ah 3EDE6h 3C000h 0C000h 02434h 07B7980000h 3DBCCh 60000h 
-115      0 0 0 1 6  0 0 0 3834034 -1653070 -1653070 10b 98304  1  18000h 3D21Ah 0ADE6h 0121Ah 3EDE6h 3C000h 0C000h 02434h 07B7980000h 3DBCCh 60000h 
-114      0 0 0 0 6  0 0 0 3834034 -1653070 -1653070 10b 98304  1  18000h 3D21Ah 0ADE6h 0121Ah 3EDE6h 3C000h 0C000h 02434h 07B7980000h 3DBCCh 60000h 
-113      0 0 0 1 7  0 0 0 3834034 -1653070 -1653070 10b 98304  1  18000h 3D21Ah 0ADE6h 0121Ah 3EDE6h 3C000h 0C000h 02434h 07B7980000h 3DBCCh 60000h 
-112      0 0 0 0 7  0 0 0 3834034 -1653070 -1653070 10b 98304  1  18000h 3D21Ah 0ADE6h 0121Ah 3EDE6h 3C000h 0C000h 02434h 07B7980000h 3DBCCh 60000h 
-111      0 1 0 1 8  0 0 0 3834034 -1653070 -1653070 10b 98304  1  18000h 3D21Ah 0ADE6h 0121Ah 3EDE6h 3C000h 0C000h 02434h 07B7980000h 3DBCCh 60000h 
-110      0 1 0 0 8  0 0 0 3834034 -1653070 -1653070 10b 98304  1  18000h 3D21Ah 0ADE6h 0121Ah 3EDE6h 3C000h 0C000h 02434h 07B7980000h 3DBCCh 60000h 
-109      0 0 0 1 9  0 0 0 3834035 888165   888165   01b -32768 1  38000h 3D21Ah 0ADE6h 0121Ah 3EDE6h 3C000h 0C000h 02434h 07B7980000h 3DBCCh 60000h 
-108      0 0 0 0 9  0 0 0 3834035 888165   888165   01b -32768 1  38000h 3D21Ah 0ADE6h 0121Ah 3EDE6h 3C000h 0C000h 02434h 07B7980000h 3DBCCh 60000h 
-107      0 0 0 1 10 0 0 0 3834035 888165   888165   01b -32768 1  38000h 3D21Ah 0ADE6h 0121Ah 3EDE6h 3C000h 0C000h 02434h 07B7980000h 3DBCCh 60000h 
-106      0 0 0 0 10 0 0 0 3834035 888165   888165   01b -32768 1  38000h 3D21Ah 0ADE6h 0121Ah 3EDE6h 3C000h 0C000h 02434h 07B7980000h 3DBCCh 60000h 
-105      0 0 0 1 11 0 0 0 3834035 888165   888165   01b -32768 1  38000h 3D21Ah 0ADE6h 0121Ah 3EDE6h 3C000h 0C000h 02434h 07B7980000h 3DBCCh 60000h 
-104      0 0 0 0 11 0 0 0 3834035 888165   888165   01b -32768 1  38000h 3D21Ah 0ADE6h 0121Ah 3EDE6h 3C000h 0C000h 02434h 07B7980000h 3DBCCh 60000h 
-103      0 1 0 1 12 0 0 0 3834035 888165   888165   01b -32768 1  38000h 3D21Ah 0ADE6h 0121Ah 3EDE6h 3C000h 0C000h 02434h 07B7980000h 3DBCCh 60000h 
-102      0 1 0 0 12 0 0 0 3834035 888165   888165   01b -32768 1  38000h 3D21Ah 0ADE6h 0121Ah 3EDE6h 3C000h 0C000h 02434h 07B7980000h 3DBCCh 60000h 
-101      0 0 0 1 13 0 0 0 3834036 1776330  1776330  10b 98304  1  18000h 3D21Ah 0ADE6h 0121Ah 3EDE6h 3C000h 0C000h 02434h 07B7980000h 3DBCCh 60000h 
-100      0 0 0 0 13 0 0 0 3834036 1776330  1776330  10b 98304  1  18000h 3D21Ah 0ADE6h 0121Ah 3EDE6h 3C000h 0C000h 02434h 07B7980000h 3DBCCh 60000h 
-99       0 0 0 1 14 0 0 0 3834036 1776330  1776330  10b 98304  1  18000h 3D21Ah 0ADE6h 0121Ah 3EDE6h 3C000h 0C000h 02434h 07B7980000h 3DBCCh 60000h 
-98       0 0 0 0 14 0 0 0 3834036 1776330  1776330  10b 98304  1  18000h 3D21Ah 0ADE6h 0121Ah 3EDE6h 3C000h 0C000h 02434h 07B7980000h 3DBCCh 60000h 
-97       0 0 0 1 15 0 0 0 3834036 1776330  1776330  10b 98304  1  18000h 3D21Ah 0ADE6h 0121Ah 3EDE6h 3C000h 0C000h 02434h 07B7980000h 3DBCCh 60000h 
-96       0 0 0 0 15 0 0 0 3834036 1776330  1776330  10b 98304  1  18000h 3D21Ah 0ADE6h 0121Ah 3EDE6h 3C000h 0C000h 02434h 07B7980000h 3DBCCh 60000h 
-95       0 1 1 1 0  0 0 0 3834036 1776330  1776330  10b 98304  1  18000h 3D21Ah 0ADE6h 0121Ah 3EDE6h 3C000h 0C000h 02434h 07B7980000h 3DBCCh 60000h 
-94       0 1 1 0 0  0 0 0 3834036 1776330  1776330  10b 98304  1  18000h 3D21Ah 0ADE6h 0121Ah 3EDE6h 3C000h 0C000h 02434h 07B7980000h 3DBCCh 60000h 
-93       0 0 0 1 1  0 0 0 3834037 -641643  -641643  01b -32768 1  38000h 0ADE6h 35B27h 3EDE6h 01B27h 0C000h 34000h 02434h 006C9C0000h 0364Eh 30000h 
-92       0 0 0 0 1  0 0 0 3834037 -641643  -641643  01b -32768 1  38000h 0ADE6h 35B27h 3EDE6h 01B27h 0C000h 34000h 02434h 006C9C0000h 0364Eh 30000h 
-91       0 0 0 1 2  0 0 0 3834037 -641643  -641643  01b -32768 1  38000h 0ADE6h 35B27h 3EDE6h 01B27h 0C000h 34000h 02434h 006C9C0000h 0364Eh 30000h 
-90       0 0 0 0 2  0 0 0 3834037 -641643  -641643  01b -32768 1  38000h 0ADE6h 35B27h 3EDE6h 01B27h 0C000h 34000h 02434h 006C9C0000h 0364Eh 30000h 
