

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To, Assignment Name, Value
CLOCK_50, Location, PIN_Y2
CLOCK_27, Location, PIN_B14
LEDR[0], Location, PIN_G19
LEDR[1], Location, PIN_F19
LEDR[2], Location, PIN_E19
LEDR[3], Location, PIN_F21
LEDR[4], Location, PIN_F18
LEDR[5], Location, PIN_E18
LEDR[6], Location, PIN_J19
LEDR[7], Location, PIN_H19
LEDR[8], Location, PIN_J17
LEDR[9], Location, PIN_G17
LEDR[10], Location, PIN_J15
LEDR[11], Location, PIN_H16
LEDR[12], Location, PIN_J16
LEDR[13], Location, PIN_H17
LEDR[14], Location, PIN_F15
LEDR[15], Location, PIN_G15
LEDR[16], Location, PIN_G16
LEDR[17], Location, PIN_H15
LEDG[0], Location, PIN_E21
LEDG[1], Location, PIN_E22
LEDG[2], Location, PIN_E25
LEDG[3], Location, PIN_E24
PHYS_KEY[0], Location, PIN_M23
PHYS_KEY[1], Location, PIN_M21
PHYS_KEY[2], Location, PIN_N21
PHYS_KEY[3], Location, PIN_R24
PHYS_SW[0], Location, PIN_AB28
PHYS_SW[1], Location, PIN_AC28
PHYS_SW[2], Location, PIN_AC27
PHYS_SW[3], Location, PIN_AD27
PHYS_SW[4], Location, PIN_AB27
PHYS_SW[5], Location, PIN_AC26
PHYS_SW[6], Location, PIN_AD26
PHYS_SW[7], Location, PIN_AB26
PHYS_SW[8], Location, PIN_AC25
PHYS_SW[9], Location, PIN_AB25
PHYS_SW[10], Location, PIN_AC24
PHYS_SW[11], Location, PIN_AB24
PHYS_SW[12], Location, PIN_AB23
PHYS_SW[13], Location, PIN_AA24
PHYS_SW[14], Location, PIN_AA23
PHYS_SW[15], Location, PIN_AA22
PHYS_SW[16], Location, PIN_Y24
PHYS_SW[17], Location, PIN_Y23
