       MER     betaTX    betaRCV     length idx TX & RCV        OB1        OB2        OB3   b Kaiser     weight 
 40.538409   0.142500   0.177500        101     140045  61.449877  64.120305  63.504564   0.000000         20 
 40.578363   0.142500   0.177900        101     140046  61.449877  64.120305  63.504564   0.000000         20 
 40.618211   0.142500   0.178300        101     140047  61.449877  64.120305  63.504564   0.000000         20 
 40.657943   0.142500   0.178700        101     140048  61.449877  64.120305  63.504564   0.000000         20 
 40.697546   0.142500   0.179100        101     140049  61.449877  64.120305  63.504564   0.000000         20 
 40.737005   0.142500   0.179500        101     140050  61.449877  64.120305  63.504564   0.000000         20 
 40.776310   0.142500   0.179900        101     140051  61.449877  64.120305  63.504564   0.000000         20 
 40.815445   0.142500   0.180300        101     140052  61.449877  64.120305  63.504564   0.000000         20 
 40.854397   0.142500   0.180700        101     140053  61.449877  64.120305  63.504564   0.000000         20 
 40.893152   0.142500   0.181100        101     140054  61.449877  64.120305  63.504564   0.000000         20 
 40.522341   0.142600   0.177000        101     140055  61.401627  64.146909  63.531086   0.000000         20 
 40.562446   0.142600   0.177400        101     140056  61.401627  64.146909  63.531086   0.000000         20 
 40.602459   0.142600   0.177800        101     140057  61.401627  64.146909  63.531086   0.000000         20 
 40.642368   0.142600   0.178200        101     140058  61.401627  64.146909  63.531086   0.000000         20 
 40.682159   0.142600   0.178600        101     140059  61.401627  64.146909  63.531086   0.000000         20 
 40.721820   0.142600   0.179000        101     140060  61.401627  64.146909  63.531086   0.000000         20 
 40.761339   0.142600   0.179400        101     140061  61.401627  64.146909  63.531086   0.000000         20 
 40.800702   0.142600   0.179800        101     140062  61.401627  64.146909  63.531086   0.000000         20 
 40.839894   0.142600   0.180200        101     140063  61.401627  64.146909  63.531086   0.000000         20 
 40.878904   0.142600   0.180600        101     140064  61.401627  64.146909  63.531086   0.000000         20 
 40.917716   0.142600   0.181000        101     140065  61.401627  64.146909  63.531086   0.000000         20 
 40.956317   0.142600   0.181400        101     140066  61.401627  64.146909  63.531086   0.000000         20 
 40.994691   0.142600   0.181800        101     140067  61.401627  64.146909  63.531086   0.000000         20 
 40.506072   0.142700   0.176500        101     140068  61.353452  64.173587  63.557639   0.000000         20 
 40.546318   0.142700   0.176900        101     140069  61.353452  64.173587  63.557639   0.000000         20 
 40.586483   0.142700   0.177300        101     140070  61.353452  64.173587  63.557639   0.000000         20 
 40.626556   0.142700   0.177700        101     140071  61.353452  64.173587  63.557639   0.000000         20 
 40.666524   0.142700   0.178100        101     140072  61.353452  64.173587  63.557639   0.000000         20 
 40.706375   0.142700   0.178500        101     140073  61.353452  64.173587  63.557639   0.000000         20 
 40.746095   0.142700   0.178900        101     140074  61.353452  64.173587  63.557639   0.000000         20 
 40.785673   0.142700   0.179300        101     140075  61.353452  64.173587  63.557639   0.000000         20 
 40.825094   0.142700   0.179700        101     140076  61.353452  64.173587  63.557639   0.000000         20 
