       MER     betaTX    betaRCV     length
 50.060261   0.146000   0.120000       65
 50.061395   0.116000   0.120000       73
 50.132732   0.128000   0.120000      121
 51.410061   0.132000   0.120000      121
 52.645708   0.136000   0.120000      121
 53.628950   0.140000   0.120000      121
 54.067946   0.144000   0.120000      121
 53.784401   0.148000   0.120000      121
 52.896751   0.152000   0.120000      121
 51.688157   0.156000   0.120000      121
 50.385809   0.160000   0.120000      121
 50.121358   0.131000   0.120000      125
 51.163125   0.135000   0.120000      125
 52.125162   0.139000   0.120000      125
 52.808319   0.143000   0.120000      125
 52.981461   0.147000   0.120000      125
 52.547049   0.151000   0.120000      125
 51.635423   0.155000   0.120000      125
 50.477816   0.159000   0.120000      125
 50.870266   0.114000   0.120000      129
 52.528418   0.118000   0.120000      129
 54.338649   0.122000   0.120000      129
 56.164427   0.126000   0.120000      129
 57.638791   0.130000   0.120000      129
 58.188750   0.134000   0.120000      129
 57.597413   0.138000   0.120000      129
 56.301253   0.142000   0.120000      129
 54.791626   0.146000   0.120000      129
 53.299291   0.150000   0.120000      129
 51.891033   0.154000   0.120000      129
 50.574733   0.158000   0.120000      129
