       MER     betaTX    betaRCV     length
 53.131718   0.180000   0.220000       81
 51.769402   0.190000   0.190000       81
 53.689114   0.190000   0.230000       81
 58.528429   0.200000   0.200000       81
 50.871589   0.200000   0.240000       81
 53.837454   0.210000   0.210000       81
 53.131718   0.220000   0.180000       81
 53.689114   0.230000   0.190000       81
 50.871589   0.240000   0.200000       81
 52.401116   0.260000   0.300000       81
 50.102243   0.270000   0.270000       81
 55.901298   0.270000   0.310000       81
 53.645368   0.280000   0.280000       81
 58.801688   0.280000   0.320000       81
 59.893528   0.290000   0.290000       81
 57.265759   0.290000   0.330000       81
 52.401116   0.300000   0.260000       81
 63.596746   0.300000   0.300000       81
 54.540963   0.300000   0.340000       81
 55.901298   0.310000   0.270000       81
 56.860087   0.310000   0.310000       81
 52.789386   0.310000   0.350000       81
 58.801688   0.320000   0.280000       81
 53.267601   0.320000   0.320000       81
 52.009683   0.320000   0.360000       81
 57.265759   0.330000   0.290000       81
 51.511571   0.330000   0.330000       81
 52.063537   0.330000   0.370000       81
 54.540963   0.340000   0.300000       81
 50.901033   0.340000   0.340000       81
 52.908405   0.340000   0.380000       81
 52.789386   0.350000   0.310000       81
 51.205845   0.350000   0.350000       81
 54.604300   0.350000   0.390000       81
 52.009683   0.360000   0.320000       81
 52.415073   0.360000   0.360000       81
 57.296651   0.360000   0.400000       81
 52.063537   0.370000   0.330000       81
 54.728042   0.370000   0.370000       81
 52.908405   0.380000   0.340000       81
 58.769363   0.380000   0.380000       81
 54.604300   0.390000   0.350000       81
 66.233785   0.390000   0.390000       81
 57.296651   0.400000   0.360000       81
 65.381823   0.400000   0.400000       81
 52.027437   0.180000   0.210000       85
 54.289690   0.190000   0.220000       85
 52.295966   0.200000   0.190000       85
 52.708387   0.200000   0.230000       85
 54.325572   0.210000   0.200000       85
 50.579788   0.210000   0.240000       85
 52.302368   0.220000   0.210000       85
 50.848423   0.230000   0.180000       85
 50.099933   0.230000   0.220000       85
 50.805241   0.240000   0.190000       85
 50.807313   0.250000   0.280000       85
 52.963193   0.260000   0.290000       85
 50.106362   0.260000   0.330000       85
 50.550951   0.270000   0.260000       85
 56.012027   0.270000   0.300000       85
 50.624488   0.270000   0.340000       85
 52.839876   0.280000   0.270000       85
 58.932856   0.280000   0.310000       85
 50.872514   0.280000   0.350000       85
 50.200520   0.290000   0.240000       85
 56.111608   0.290000   0.280000       85
 58.548460   0.290000   0.320000       85
 50.950278   0.290000   0.360000       85
 51.680143   0.300000   0.250000       85
 59.171906   0.300000   0.290000       85
 56.218757   0.300000   0.330000       85
 51.017919   0.300000   0.370000       85
 53.499003   0.310000   0.260000       85
 58.337480   0.310000   0.300000       85
 54.486437   0.310000   0.340000       85
 51.202232   0.310000   0.380000       85
 55.050886   0.320000   0.270000       85
 55.755289   0.320000   0.310000       85
 53.671618   0.320000   0.350000       85
 51.563538   0.320000   0.390000       85
 55.444701   0.330000   0.280000       85
 53.986256   0.330000   0.320000       85
 53.693418   0.330000   0.360000       85
 52.096955   0.330000   0.400000       85
 54.756525   0.340000   0.290000       85
 53.193537   0.340000   0.330000       85
 54.513280   0.340000   0.370000       85
 53.893584   0.350000   0.300000       85
 53.260782   0.350000   0.340000       85
