       MER     betaTX    betaRCV     length
 58.528429   0.200000   0.200000       81
 52.295966   0.190000   0.200000       85
 52.295966   0.200000   0.190000       85
 50.082168   0.170000   0.170000       89
 55.583114   0.180000   0.200000       89
 54.935019   0.190000   0.190000       89
 55.583114   0.200000   0.180000       89
 54.117806   0.170000   0.200000       93
 54.545748   0.180000   0.190000       93
 54.545748   0.190000   0.180000       93
 54.117806   0.200000   0.170000       93
 52.296629   0.150000   0.170000       97
 53.158315   0.160000   0.160000       97
 52.077313   0.160000   0.200000       97
 52.296629   0.170000   0.150000       97
 52.775478   0.170000   0.190000       97
 52.002079   0.180000   0.180000       97
 52.775478   0.190000   0.170000       97
 52.077313   0.200000   0.160000       97
 54.150369   0.160000   0.190000      101
 54.447200   0.170000   0.180000      101
 54.447200   0.180000   0.170000      101
 54.150369   0.190000   0.160000      101
 53.932320   0.140000   0.160000      105
 55.154960   0.150000   0.150000      105
 51.159266   0.150000   0.190000      105
 53.932320   0.160000   0.140000      105
 51.578911   0.160000   0.180000      105
 50.780016   0.170000   0.170000      105
 51.578911   0.180000   0.160000      105
 51.159266   0.190000   0.150000      105
 53.646520   0.150000   0.180000      109
 53.874460   0.160000   0.170000      109
 53.874460   0.170000   0.160000      109
 50.209984   0.170000   0.200000      109
 53.646520   0.180000   0.150000      109
 50.209984   0.200000   0.170000      109
 54.325462   0.130000   0.150000      113
 55.779792   0.140000   0.140000      113
 50.637424   0.140000   0.180000      113
 54.325462   0.150000   0.130000      113
 51.253824   0.150000   0.170000      113
 50.411856   0.160000   0.160000      113
 51.253824   0.170000   0.150000      113
 50.637424   0.180000   0.140000      113
 54.359674   0.200000   0.200000      113
 50.249497   0.130000   0.140000      117
 50.249497   0.140000   0.130000      117
 53.314765   0.140000   0.170000      117
 53.660689   0.150000   0.160000      117
 53.660689   0.160000   0.150000      117
 50.343987   0.160000   0.190000      117
 53.314765   0.170000   0.140000      117
 50.343987   0.190000   0.160000      117
 52.633199   0.190000   0.200000      117
 52.633199   0.200000   0.190000      117
 53.628950   0.120000   0.140000      121
 55.153549   0.130000   0.130000      121
 50.294943   0.130000   0.170000      121
 53.628950   0.140000   0.120000      121
 51.461303   0.140000   0.160000      121
 50.551796   0.150000   0.150000      121
 51.461303   0.160000   0.140000      121
 50.294943   0.170000   0.130000      121
 56.034616   0.180000   0.200000      121
 56.733605   0.190000   0.190000      121
 56.034616   0.200000   0.180000      121
 53.194600   0.130000   0.160000      125
 53.906081   0.140000   0.150000      125
 53.906081   0.150000   0.140000      125
 50.535761   0.150000   0.180000      125
 53.194600   0.160000   0.130000      125
 50.162919   0.160000   0.170000      125
 50.162919   0.170000   0.160000      125
 53.271802   0.170000   0.200000      125
 50.535761   0.180000   0.150000      125
 53.789839   0.180000   0.190000      125
 53.789839   0.190000   0.180000      125
 53.271802   0.200000   0.170000      125
 52.064844   0.110000   0.130000      129
 53.419340   0.120000   0.120000      129
 52.064844   0.130000   0.110000      129
 52.110116   0.130000   0.150000      129
 51.114778   0.140000   0.140000      129
 52.110116   0.150000   0.130000      129
 51.866851   0.160000   0.200000      129
 57.247617   0.170000   0.190000      129
 58.397711   0.180000   0.180000      129
 57.247617   0.190000   0.170000      129
 51.866851   0.200000   0.160000      129
 55.957353   0.200000   0.200000      129
