       MER     betaTX    betaRCV     length
 50.139270   0.143000   0.177000       97
 50.133539   0.143000   0.181000       97
 50.117238   0.144000   0.172000       97
 50.525587   0.144000   0.176000       97
 50.623011   0.144000   0.180000       97
 50.384640   0.144000   0.184000       97
 50.370229   0.145000   0.171000       97
 50.889887   0.145000   0.175000       97
 51.099972   0.145000   0.179000       97
 50.950410   0.145000   0.183000       97
 50.472311   0.145000   0.187000       97
 50.597771   0.146000   0.170000       97
 51.229207   0.146000   0.174000       97
 51.560068   0.146000   0.178000       97
 51.512542   0.146000   0.182000       97
 51.096326   0.146000   0.186000       97
 50.400689   0.146000   0.190000       97
 50.799649   0.147000   0.169000       97
 51.541041   0.147000   0.173000       97
 51.998777   0.147000   0.177000       97
 52.066398   0.147000   0.181000       97
 51.725664   0.147000   0.185000       97
 51.058745   0.147000   0.189000       97
 50.191354   0.147000   0.193000       97
 50.006177   0.148000   0.164000       97
 50.976223   0.148000   0.168000       97
 51.823506   0.148000   0.172000       97
 52.411623   0.148000   0.176000       97
 52.606617   0.148000   0.180000       97
 52.356186   0.148000   0.184000       97
 51.728346   0.148000   0.188000       97
 50.859117   0.148000   0.192000       97
 50.091837   0.149000   0.163000       97
 51.128386   0.149000   0.167000       97
 52.075472   0.149000   0.171000       97
 52.794456   0.149000   0.175000       97
 53.127238   0.149000   0.179000       97
 52.982632   0.149000   0.183000       97
 52.405962   0.149000   0.187000       97
 51.540523   0.149000   0.191000       97
 50.533986   0.149000   0.195000       97
 50.162039   0.150000   0.162000       97
 51.257474   0.150000   0.166000       97
 52.296629   0.150000   0.170000       97
 53.143745   0.150000   0.174000       97
 53.621930   0.150000   0.178000       97
 53.598542   0.150000   0.182000       97
 53.086735   0.150000   0.186000       97
 52.232123   0.150000   0.190000       97
 51.204094   0.150000   0.194000       97
 50.123669   0.150000   0.198000       97
 50.218331   0.151000   0.161000       97
 51.365155   0.151000   0.165000       97
 52.487488   0.151000   0.169000       97
 53.456867   0.151000   0.173000       97
 54.084355   0.151000   0.177000       97
 54.196284   0.151000   0.181000       97
 53.764223   0.151000   0.185000       97
 52.928986   0.151000   0.189000       97
 51.882424   0.151000   0.193000       97
 50.767733   0.151000   0.197000       97
 50.262162   0.152000   0.160000       97
 51.453292   0.152000   0.164000       97
 52.649305   0.152000   0.168000       97
 53.732328   0.152000   0.172000       97
 54.508639   0.152000   0.176000       97
 54.767269   0.152000   0.180000       97
 54.430218   0.152000   0.184000       97
 53.624354   0.152000   0.188000       97
 52.563424   0.152000   0.192000       97
 51.415818   0.152000   0.196000       97
 50.274837   0.152000   0.200000       97
 50.294816   0.153000   0.159000       97
 51.523812   0.153000   0.163000       97
 52.783937   0.153000   0.167000       97
 53.969881   0.153000   0.171000       97
 54.889906   0.153000   0.175000       97
 55.302393   0.153000   0.179000       97
 55.074717   0.153000   0.183000       97
 54.309340   0.153000   0.187000       97
 53.239575   0.153000   0.191000       97
 52.061642   0.153000   0.195000       97
 50.885267   0.153000   0.199000       97
 50.317348   0.154000   0.158000       97
 51.578573   0.154000   0.162000       97
 52.893660   0.154000   0.166000       97
 54.170506   0.154000   0.170000       97
 55.224785   0.154000   0.174000       97
 55.792747   0.154000   0.178000       97
 55.686197   0.154000   0.182000       97
 54.972798   0.154000   0.186000       97
 53.901120   0.154000   0.190000       97
 52.696991   0.154000   0.194000       97
 51.488362   0.154000   0.198000       97
 50.330545   0.155000   0.157000       97
 51.619251   0.155000   0.161000       97
 52.980956   0.155000   0.165000       97
 54.336267   0.155000   0.169000       97
 55.511782   0.155000   0.173000       97
 56.230538   0.155000   0.177000       97
 56.252296   0.155000   0.181000       97
 55.601514   0.155000   0.185000       97
 54.536007   0.155000   0.189000       97
 53.311577   0.155000   0.193000       97
 52.075637   0.155000   0.197000       97
 50.334889   0.156000   0.156000       97
 51.647246   0.156000   0.160000       97
 53.048310   0.156000   0.164000       97
 54.470043   0.156000   0.168000       97
 55.751424   0.156000   0.172000       97
 56.610064   0.156000   0.176000       97
 56.760986   0.156000   0.180000       97
 56.180949   0.156000   0.184000       97
 55.130237   0.156000   0.188000       97
 53.893174   0.156000   0.192000       97
 52.636890   0.156000   0.196000       97
 51.431566   0.156000   0.200000       97
 50.330545   0.157000   0.155000       97
 51.663608   0.157000   0.159000       97
 53.098019   0.157000   0.163000       97
 54.575207   0.157000   0.167000       97
 55.946142   0.157000   0.171000       97
 56.928536   0.157000   0.175000       97
 57.202127   0.157000   0.179000       97
 56.696631   0.157000   0.183000       97
 55.668823   0.157000   0.187000       97
 54.428208   0.157000   0.191000       97
 53.160517   0.157000   0.195000       97
 51.943083   0.157000   0.199000       97
 50.317348   0.158000   0.154000       97
 51.668989   0.158000   0.158000       97
 53.132030   0.158000   0.162000       97
 54.655275   0.158000   0.166000       97
 56.099899   0.158000   0.170000       97
 57.186495   0.158000   0.174000       97
 57.569097   0.158000   0.178000       97
 57.136146   0.158000   0.182000       97
 56.137438   0.158000   0.186000       97
 54.902919   0.158000   0.190000       97
 53.634264   0.158000   0.194000       97
 52.414745   0.158000   0.198000       97
 50.294816   0.159000   0.153000       97
 51.663608   0.159000   0.157000       97
 53.151822   0.159000   0.161000       97
 54.713581   0.159000   0.165000       97
 56.217645   0.159000   0.169000       97
 57.387692   0.159000   0.173000       97
 57.860018   0.159000   0.177000       97
 57.491320   0.159000   0.181000       97
 56.524583   0.159000   0.185000       97
 55.305070   0.159000   0.189000       97
 54.046424   0.159000   0.193000       97
 52.835914   0.159000   0.197000       97
 50.262162   0.160000   0.152000       97
 51.647246   0.160000   0.156000       97
 53.158315   0.160000   0.160000       97
 54.752999   0.160000   0.164000       97
 56.304719   0.160000   0.168000       97
 57.538457   0.160000   0.172000       97
 58.078150   0.160000   0.176000       97
 57.759902   0.160000   0.180000       97
 56.823746   0.160000   0.184000       97
 55.625914   0.160000   0.188000       97
 54.387383   0.160000   0.192000       97
 53.196943   0.160000   0.196000       97
 52.077313   0.160000   0.200000       97
 50.218331   0.161000   0.151000       97
 51.619251   0.161000   0.155000       97
 53.151822   0.161000   0.159000       97
 54.775729   0.161000   0.163000       97
 56.366264   0.161000   0.167000       97
 57.646734   0.161000   0.171000       97
 58.231303   0.161000   0.175000       97
 57.946135   0.161000   0.179000       97
 57.034825   0.161000   0.183000       97
 55.861872   0.161000   0.187000       97
 54.651174   0.161000   0.191000       97
 53.490457   0.161000   0.195000       97
 52.400196   0.161000   0.199000       97
 50.162039   0.162000   0.150000       97
 51.578573   0.162000   0.154000       97
 53.132030   0.162000   0.158000       97
 54.783149   0.162000   0.162000       97
 56.406750   0.162000   0.166000       97
 57.721007   0.162000   0.170000       97
 58.330451   0.162000   0.174000       97
 58.059938   0.162000   0.178000       97
 57.164240   0.162000   0.182000       97
 56.015317   0.162000   0.186000       97
 54.836595   0.162000   0.190000       97
 53.712508   0.162000   0.194000       97
 52.660121   0.162000   0.198000       97
 50.091837   0.163000   0.149000       97
 51.523812   0.163000   0.153000       97
 53.098019   0.163000   0.157000       97
 54.775729   0.163000   0.161000       97
 56.429606   0.163000   0.165000       97
 57.769334   0.163000   0.169000       97
 58.388031   0.163000   0.173000       97
 58.115061   0.163000   0.177000       97
 57.223687   0.163000   0.181000       97
 56.094174   0.163000   0.185000       97
 54.947487   0.163000   0.189000       97
 53.863278   0.163000   0.193000       97
 52.854369   0.163000   0.197000       97
 50.006177   0.164000   0.148000       97
 51.453292   0.164000   0.152000       97
 53.048310   0.164000   0.156000       97
 54.752999   0.164000   0.160000       97
 56.436981   0.164000   0.164000       97
 57.798599   0.164000   0.168000       97
 58.416349   0.164000   0.172000       97
 58.126859   0.164000   0.176000       97
 57.228039   0.164000   0.180000       97
 56.110477   0.164000   0.184000       97
 54.992087   0.164000   0.188000       97
 53.947089   0.164000   0.192000       97
 52.983723   0.164000   0.196000       97
 52.087486   0.164000   0.200000       97
 51.365155   0.165000   0.151000       97
 52.980956   0.165000   0.155000       97
 54.713581   0.165000   0.159000       97
 56.429606   0.165000   0.163000       97
 57.814008   0.165000   0.167000       97
 58.426390   0.165000   0.171000       97
 58.110349   0.165000   0.175000       97
 57.193122   0.165000   0.179000       97
 56.078428   0.165000   0.183000       97
 54.981671   0.165000   0.187000       97
 53.971729   0.165000   0.191000       97
 53.052382   0.165000   0.195000       97
 52.205378   0.165000   0.199000       97
 51.257474   0.166000   0.150000       97
 52.893660   0.166000   0.154000       97
 54.655275   0.166000   0.158000       97
 56.406750   0.166000   0.162000       97
 57.818781   0.166000   0.166000       97
 58.427070   0.166000   0.170000       97
 58.078875   0.166000   0.174000       97
 57.133947   0.166000   0.178000       97
 56.012547   0.166000   0.182000       97
 54.928956   0.166000   0.186000       97
 53.947299   0.166000   0.190000       97
 53.067353   0.166000   0.194000       97
 52.267519   0.166000   0.198000       97
 51.128386   0.167000   0.149000       97
 52.783937   0.167000   0.153000       97
 54.575207   0.167000   0.157000       97
 56.366264   0.167000   0.161000       97
 57.814008   0.167000   0.165000       97
 58.424874   0.167000   0.169000       97
 58.043402   0.167000   0.173000       97
 57.063612   0.167000   0.177000       97
 55.926308   0.167000   0.181000       97
 54.846662   0.167000   0.185000       97
 53.884935   0.167000   0.189000       97
 53.037514   0.167000   0.193000       97
 52.280037   0.167000   0.197000       97
 50.976223   0.168000   0.148000       97
 52.649305   0.168000   0.152000       97
 54.470043   0.168000   0.156000       97
 56.304719   0.168000   0.160000       97
 57.798599   0.168000   0.164000       97
 58.423707   0.168000   0.168000       97
 58.012297   0.168000   0.172000       97
 56.992840   0.168000   0.176000       97
 55.831354   0.168000   0.180000       97
 54.746489   0.168000   0.184000       97
 53.795692   0.168000   0.188000       97
 52.972586   0.168000   0.192000       97
 52.250664   0.168000   0.196000       97
 51.599249   0.168000   0.200000       97
 50.799649   0.169000   0.147000       97
 52.487488   0.169000   0.151000       97
 54.336267   0.169000   0.155000       97
 56.217645   0.169000   0.159000       97
 57.769334   0.169000   0.163000       97
 58.424874   0.169000   0.167000       97
 57.991370   0.169000   0.171000       97
 56.929932   0.169000   0.175000       97
 55.737219   0.169000   0.179000       97
 54.638554   0.169000   0.183000       97
 53.689753   0.169000   0.187000       97
 52.882247   0.169000   0.191000       97
 52.187915   0.169000   0.195000       97
 51.574612   0.169000   0.199000       97
 50.597771   0.170000   0.146000       97
 52.296629   0.170000   0.150000       97
 54.170506   0.170000   0.154000       97
 56.099899   0.170000   0.158000       97
 57.721007   0.170000   0.162000       97
 58.427070   0.170000   0.166000       97
 57.984022   0.170000   0.170000       97
 56.880957   0.170000   0.174000       97
 55.651369   0.170000   0.178000       97
 54.531196   0.170000   0.182000       97
 53.575987   0.170000   0.186000       97
 52.775478   0.170000   0.190000       97
 52.100345   0.170000   0.194000       97
 51.517512   0.170000   0.198000       97
 50.370229   0.171000   0.145000       97
 52.075472   0.171000   0.149000       97
 53.969881   0.171000   0.153000       97
 55.946142   0.171000   0.157000       97
 57.646734   0.171000   0.161000       97
 58.426390   0.171000   0.165000       97
 57.991370   0.171000   0.169000       97
 56.850007   0.171000   0.173000       97
 55.579414   0.171000   0.177000       97
 54.431037   0.171000   0.181000       97
 53.461788   0.171000   0.185000       97
 52.660195   0.171000   0.189000       97
 51.995995   0.171000   0.193000       97
 51.435575   0.171000   0.197000       97
 50.117238   0.172000   0.144000       97
 51.823506   0.172000   0.148000       97
 53.732328   0.172000   0.152000       97
 55.751424   0.172000   0.156000       97
 57.538457   0.172000   0.160000       97
 58.416349   0.172000   0.164000       97
 58.012297   0.172000   0.168000       97
 56.839436   0.172000   0.172000       97
 55.525378   0.172000   0.176000       97
 54.343163   0.172000   0.180000       97
 53.353118   0.172000   0.184000       97
 52.543090   0.172000   0.188000       97
 51.882054   0.172000   0.192000       97
 51.336087   0.172000   0.196000       97
 50.872352   0.172000   0.200000       97
 51.541041   0.173000   0.147000       97
 53.456867   0.173000   0.151000       97
 55.511782   0.173000   0.155000       97
 57.387692   0.173000   0.159000       97
 58.388031   0.173000   0.163000       97
 58.043402   0.173000   0.167000       97
 56.850007   0.173000   0.171000       97
 55.491941   0.173000   0.175000       97
 54.271352   0.173000   0.179000       97
 53.254647   0.173000   0.183000       97
 52.429646   0.173000   0.187000       97
 51.764698   0.173000   0.191000       97
 51.225670   0.173000   0.195000       97
 50.779822   0.173000   0.199000       97
 51.229207   0.174000   0.146000       97
 53.143745   0.174000   0.150000       97
 55.224785   0.174000   0.154000       97
 57.186495   0.174000   0.158000       97
 58.330451   0.174000   0.162000       97
 58.078875   0.174000   0.166000       97
 56.880957   0.174000   0.170000       97
 55.480629   0.174000   0.174000       97
 54.218297   0.174000   0.178000       97
 53.169936   0.174000   0.182000       97
 52.324238   0.174000   0.186000       97
 51.649072   0.174000   0.190000       97
 51.110115   0.174000   0.194000       97
 50.674840   0.174000   0.198000       97
 50.889887   0.175000   0.145000       97
 52.794456   0.175000   0.149000       97
 54.889906   0.175000   0.153000       97
 56.928536   0.175000   0.157000       97
 58.231303   0.175000   0.161000       97
 58.110349   0.175000   0.165000       97
 56.929932   0.175000   0.169000       97
 55.491941   0.175000   0.173000       97
 54.185786   0.175000   0.177000       97
 53.101628   0.175000   0.181000       97
 52.230278   0.175000   0.185000       97
 51.539354   0.175000   0.189000       97
 50.994327   0.175000   0.193000       97
 50.562893   0.175000   0.197000       97
 50.525587   0.176000   0.144000       97
 52.411623   0.176000   0.148000       97
 54.508639   0.176000   0.152000       97
 56.610064   0.176000   0.156000       97
 58.078150   0.176000   0.160000       97
 58.126859   0.176000   0.164000       97
 56.992840   0.176000   0.168000       97
 55.525378   0.176000   0.172000       97
 54.174839   0.176000   0.176000       97
 53.051603   0.176000   0.180000       97
 52.150367   0.176000   0.184000       97
 51.438865   0.176000   0.188000       97
 50.882360   0.176000   0.192000       97
 50.448716   0.176000   0.196000       97
 50.108352   0.176000   0.200000       97
 50.139270   0.177000   0.143000       97
